0	0	1261	1235	1260	1243.95	837	830.995	848	829	866	788.995	0	957	1047	973	1021	1002	796	772.995	831	799	1024	777	840	828	866	810	851	805	816.995	780	818	815	847	1007
0	0	1229	1284	1249.95	1237	820	906	774	795	820	885	0	1058	998	952	951.995	1040	805.995	866.995	800	785	991	751	850	822.995	833	841	828	825	844	819	781.995	792.995	786.995	1074.95
0	0	0	869	817	823.995	896	815.995	840	833.995	821	792.995	1222	744	761	808	728	737	809	760	790.995	819	1030	790.995	825.995	816	853	849	817	838.995	797	764	748.995	852	807	1011
0	0	0	0	795	816.995	782	819.995	832.995	842	859	864	1199	748	761	766	780	746	770	815	739	837	1023.95	814.995	788	851.995	787.995	884.995	809	878	775	779	817	773	851	1006
0	0	0	0	0	878	792	834	848.995	831	817	876.995	1300	724	705	745	771	754.995	834	770	826.995	797	931	841	819.99	825	837	814	855	849	996	1047	1006	957	998	0
0	0	0	0	0	0	872.995	793	856	869	817	792	1278.95	768.995	727.99	756	748	720	984.995	1015	1012	963	0	1025	875.995	856	823	801	840	804	771	810.995	827.995	838	773	947
0	0	0	0	0	0	0	999	1011	991.945	1029	969	823	865	815.995	853	832.995	810	817.995	852	794.995	856	823	856	812	781.995	761	1004	829.995	811	0	980.995	1016	999.95	991.995	1034
0	0	0	0	0	0	0	0	1004	998	994	1005	773	814.995	845.995	854	863.995	848	835	845	862	828	843	786.995	776	793	800.995	1071.9	779	778.995	969	794	815	797	792	812
0	0	0	0	0	0	0	0	0	1017	970.995	996.95	854	831	878.995	803.995	801.995	830	824	832	810	843	812	879	774	818.995	823.995	980	796.995	806	1025.945	817.995	828	807.995	761	765.995
0	0	0	0	0	0	0	0	0	0	985	1007.995	843.995	817	790	830.995	860	858	826	835	775	831	885	848	769.995	794	837.995	973	799	826	967	840	803	810	769.995	750
0	0	0	0	0	0	0	0	0	0	0	1021	829	847	806.995	828.995	849	839	795	792.995	881	837	842	852	849	815.995	789.995	970.995	779	794.995	1036.95	763.995	792	751	774	812.995
0	0	0	0	0	0	0	0	0	0	0	0	876.995	825	862	829	791.995	814.99	902	843	877	805	794.99	777.995	1019	996	986	0	1015.995	983	1001	802.995	746	806	848	778.995
0	0	0	0	0	0	0	0	0	0	0	0	0	982	969	1067	965	1016.95	869	842	838	788	851	812	798	795	871	835.995	841.995	858	823	845	803	855	853	815
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	1010	997	1011	792	830	824	835	863	856	834	828	803.995	815	849.995	869	858	844	843.995	844	829	861.995
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	955.995	1020	1055	823	852	808	866	819.995	830.995	851	840	839	849.995	819	801	825	828	862	837	822	816
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1033.95	933	865	811	815.995	868	811.995	828	809	871	805	832	870	813	829.995	843	792	817	833	858
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	984	828	872	852	830	804	813.995	858	841	826.995	836.99	812	825	832	876.995	863	787	807	784
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	823	793	862	813	850	859	849.995	825	854	830	806.995	833.995	832	762.995	836	810	878	839
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	947	1037	1030	969.995	1015.95	800	784.995	839	794	809	973	757.995	851	897	876	836	854
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	984.995	1028.95	1001	1038	788	773.995	793	791.995	829	1023.95	888	805.995	845	842	774	843.995
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	940.995	1051	985.95	828.995	780	810	832.995	785	963	838	871.995	812	803	797	830.995
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1008.995	991	809	820	812.995	784	757	1017	816.995	855	781	804	928	832
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	969	790.995	847	742.995	816.995	778.995	1023	851	808	839	846	796	817
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	982.995	993.995	1002	980	1041	0	847.995	807.99	825.995	879	847	848
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	999	972.95	948	1044	1036	991.99	1018	0	994	995.95	1004
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	987	1029	1008	977	829	774	970	818.995	811	828
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1001	1013	1026	790	833	978.995	776	788	828
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	998	1023.995	814.995	793	1017	767	781.995	778
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	937	783	769.995	1024	810	766	787
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	791	812	1010	788.995	824	812
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	827.995	1243	867	1277	846
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1214	858	1268	799
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1258	0	1252
